chunk_id,source,page,chunk_length,chunk_text
63,WhizBuddy_part_1.pdf,2,389,Safety 12. Maintenance and Care 12.1 Cleaning 12.2 Routine Care 13. Environmental and Noise Considerations 14. Operational Limitations 15. Storage and Transportation 16. Basic Specifications 16.1 General 16.2 Physical Characteristics 16.3 Display and Interaction 16.4 Audio and Visual System 16.5 Motion and Expression 16.6 Sensors 16.7 Power 16.8 Environmental Requirements 17. Conclusion
64,WhizBuddy_part_1.pdf,3,797,"1. Introduction WhizBuddy™ is an indoor interactive companion robot designed for learning engagement, guided interaction, entertainment, and assisted communication . The robot is optimized for safe, expressive interaction in controlled indoor environments, making it suitable for educational, institutional, and supervised public spaces. WhizBuddy™ combines touch interaction, voice communication, visual expressions, and structured content delivery to create an engaging human-robot interaction experience. 2. Application Scenarios WhizBuddy™ is suitable for use in:  Educational institutions and learning centers  Libraries and knowledge zones  Training rooms and demonstration areas  Children’s activity zones (with supervision)  Museums and interactive exhibits  Indoor public engagement"
65,WhizBuddy_part_1.pdf,3,592,"areas  Children’s activity zones (with supervision)  Museums and interactive exhibits  Indoor public engagement spaces The robot is designed to support guided interaction rather than autonomous operation. 3. Operating Environment For optimal performance and safety, WhizBuddy™ should be used under the following conditions:  Indoor environments only  Flat, stable floors or fixed placement areas  Dry surroundings with no exposure to liquids  Moderate ambient lighting  Controlled noise levels Using the robot outside these conditions may affect interaction quality. 4. Robot Overview"
66,WhizBuddy_part_1.pdf,4,800,"WhizBuddy™ consists of the following main components:  Touch-enabled interactive display  Integrated camera for visual interaction  Built-in microphone and speaker system  Expressive motion elements for engagement  Stable base designed for indoor use The robot is intended for guided and assisted interaction. 5. Physical Characteristics 5.1 Dimensions and Weight  Overall Height: Approximately 70–90 cm  Base Footprint: Compact indoor base  Approximate Weight: 12–16 kg The structure is designed to remain stable during interaction and expressive motion. 5.2 Placement and Handling  Place the robot on a flat, stable surface  Avoid sloped or uneven floors  Do not lift or reposition the robot while powered on Proper placement ensures safe and reliable operation. 6. Power and Startup 6.1"
67,WhizBuddy_part_1.pdf,4,262,or reposition the robot while powered on Proper placement ensures safe and reliable operation. 6. Power and Startup 6.1 Power Supply  Connect the robot to the designated power source  Ensure cables are securely connected and safely routed 6.2 Startup Procedure
68,WhizBuddy_part_1.pdf,5,795," The robot initializes automatically when powered  Allow the system to complete startup before interaction 6.3 Shutdown Procedure  Use the on-screen shutdown option when available  Disconnect power only after shutdown is complete 7. Interaction Methods 7.1 Touch Interaction The primary interaction method is the touch display:  Tap interface elements gently  Do not apply excessive pressure  Avoid sharp or hard objects 7.2 Voice Interaction WhizBuddy™ supports spoken interaction:  Speak clearly and at a normal pace  Stand within the recommended interaction range Performance may vary depending on background noise and pronunciation clarity. 7.3 Visual Interaction On-screen expressions, animations, and prompts guide users and indicate robot states such as listening, responding, or"
69,WhizBuddy_part_1.pdf,5,124,"On-screen expressions, animations, and prompts guide users and indicate robot states such as listening, responding, or idle."
70,WhizBuddy_part_1.pdf,6,800,"8. Functional Modes 8.1 Learning and Knowledge Mode This mode enables WhizBuddy™ to:  Present educational content  Support question-and-answer interaction  Display learning materials and guided explanations Content should be reviewed and curated before deployment. 8.2 Companion Interaction Mode In this mode, the robot provides:  Friendly conversational interaction  Expressive responses through animation and motion  Engagement through guided prompts This mode is suitable for supervised environments. 8.3 Multimedia Playback Mode WhizBuddy™ can display and play:  Images and slides  Videos and animations  Audio content Audio and display settings can be adjusted for comfort. 8.4 Expression and Motion Mode The robot can perform pre-configured expressive movements to enhance interaction."
71,WhizBuddy_part_1.pdf,7,733,Operational Notes  Maintain clear space around the robot  Avoid physical interference during motion  Supervision is recommended in public areas 9. Movement and Motion Behavior  WhizBuddy™ supports limited expressive motion  The robot is not designed for autonomous navigation  Do not manually force moving parts Any resistance or abnormal behavior should be addressed by stopping operation. 10. Display and Audio Adjustment Users can adjust:  Screen brightness  Audio volume  Audio muting when required These settings allow adaptation to different indoor environments. 11. Safety Guidelines 11.1 General Safety  Indoor use only  Keep away from liquids and heat sources  Do not place objects on the robot 11.2 Child Safety
72,WhizBuddy_part_1.pdf,8,703," Adult supervision is required  Do not allow climbing, pulling, or rough handling  Encourage calm and gentle interaction 11.3 Electrical Safety  Use approved power accessories  Disconnect power before cleaning  Do not operate with damaged cables 11.4 Operational Safety  Ensure stable placement  Stop operation if abnormal behavior occurs  Do not modify or disassemble the robot 12. Maintenance and Care 12.1 Cleaning  Clean with a soft, dry cloth  Do not use liquid or chemical cleaners 12.2 Routine Care  Inspect the robot periodically  Ensure connectors and cables remain secure  Power off when not in use 13. Environmental and Noise Considerations  Designed for quiet indoor operation"
73,WhizBuddy_part_1.pdf,9,800," Audio output adjustable for shared spaces  Suitable for classrooms, libraries, and learning areas 14. Operational Limitations WhizBuddy™ is designed for structured indoor environments and guided interaction. Performance depends on content configuration, placement, and user behavior. 15. Storage and Transportation  Power off before moving  Handle with care using both hands  Store in a dry, temperature-controlled environment 16. Basic Specifications General  Robot Type: Indoor interactive companion and learning robot  Primary Applications: Education, guided interaction, multimedia engagement Physical Characteristics  Overall Height: Approximately 70–90 cm  Base Design: Stable indoor base  Approximate Weight: 12–16 kg  Exterior Housing: Enclosed, impact-resistant structure Display"
74,WhizBuddy_part_1.pdf,9,222,"Stable indoor base  Approximate Weight: 12–16 kg  Exterior Housing: Enclosed, impact-resistant structure Display and Interaction  Display Type: Integrated touch-enabled display  Display Size: Approximately 10–12 inches"
75,WhizBuddy_part_1.pdf,10,658," Interaction Methods: Touch, voice, visual prompts Audio and Visual System  Camera: Integrated front-facing camera  Microphones: Built-in microphone array  Speakers: Integrated audio output Motion and Expression  Movement Type: Stationary with expressive motion  Supported Modes: Interaction, learning, expression Sensors  Human Presence Detection: Supported Power  Power Source: External power supply  Operating Duration: Continuous operation while connected to power Environmental Requirements  Operating Environment: Indoor only  Surface: Flat and stable  Temperature: Normal indoor room temperature  Humidity: Dry, non-condensing environment"
76,WhizBuddy_part_1.pdf,11,297,"17. Conclusion WhizBuddy™ provides an engaging and approachable interactive experience through expressive behavior, guided learning features, and intuitive operation. Proper place ment, supervision, and maintenance ensure consistent and safe performance across educational and public environments."
77,whizgreet.pdf,2,796,Whizrobo – 4th Generation Self-learning Platform Table of Contents 1. Introduction 2. Application Scenarios 3. Operating Environment 4. Robot Overview 5. Physical Characteristics 5.1 Dimensions and Weight 5.2 Placement and Stability 6. Power and Startup 6.1 Power Connection 6.2 Startup Process 6.3 Shutdown Procedure 7. Interaction Methods 7.1 Touch Interaction 7.2 Voice Interaction 7.3 Visual Interaction 8. Functional Modes 8.1 Reception Mode 8.2 Information and Presentation Mode 8.3 Voice Interaction Mode 8.4 Multimedia Playback Mode 8.5 Expression and Performance Mode • Operational Guidelines 9. Movement and Motion Behavior 10. Display and Audio Controls 11. Safety Guidelines 11.1 General Safety 11.2 Child Safety 11.3 Electrical Safety 11.4 Operational Safety 12. Maintenance and Care
78,whizgreet.pdf,2,467,11.1 General Safety 11.2 Child Safety 11.3 Electrical Safety 11.4 Operational Safety 12. Maintenance and Care 12.1 Cleaning 12.2 Routine Inspection 13. Noise and Environmental Considerations 14. Operational Limitations 15. Storage and Handling 16. Basic Specifications 16.1 General 16.2 Physical Characteristics 16.3 Display and Interaction 16.4 Audio and Visual System 16.5 Motion and Expression 16.6 Sensors 16.7 Power 16.8 Environmental Requirements 17. Conclusion
79,whizgreet.pdf,3,789,"Whizrobo – 4th Generation Self-learning Platform 1. Introduction WhizGreet™ is an indoor interactive service robot designed to support visitor greeting, guided interaction, information delivery, and multimedia presentation in professional and institutional environments. The robot is optimized for stationary operation, expressive interaction, and reliable performance in shared indoor spaces. WhizGreet™ enhances engagement by combining visual interaction, voice communication, and structured content delivery. 2. Application Scenarios WhizGreet™ is suitable for deployment in:  Office reception and front-desk areas  Corporate lobbies and business centers  Retail stores and showrooms  Hotels, hospitals, and service counters  Exhibition halls and demonstration booths  Educational"
80,whizgreet.pdf,3,640,"and showrooms  Hotels, hospitals, and service counters  Exhibition halls and demonstration booths  Educational institutions and public information points The robot is designed to complement human staff by providing consistent, interactive assistance. 3. Operating Environment For reliable performance and safe operation, WhizGreet™ should be used under the following conditions:  Indoor environments only  Stable, flat surfaces such as desks or fixed floor positions  Dry surroundings with no exposure to liquids  Adequate ambient lighting  Moderate background noise levels Operation outside these conditions may affect performance."
81,whizgreet.pdf,4,799,"Whizrobo – 4th Generation Self-learning Platform 4. Robot Overview WhizGreet™ features a compact, upright design consisting of:  A front-facing touch-enabled interactive display  Integrated camera and microphone system  Built-in speakers for audio output  Sensors for human presence detection  Fixed base for stable, stationary operation WhizGreet™ is designed primarily for stationary interaction and does not support autonomous navigation. 5. Physical Characteristics 5.1 Dimensions and Weight  Overall Height: Approximately 55–65 cm  Base Footprint: Compact fixed base suitable for counters or floor placement  Approximate Weight: 8–12 kg (configuration dependent) The robot is designed with a balanced structure to ensure stability during interaction. 5.2 Placement and Stability  Place"
82,whizgreet.pdf,4,309,"robot is designed with a balanced structure to ensure stability during interaction. 5.2 Placement and Stability  Place the robot on a stable, level surface  Ensure the base is fully supported  Avoid placement near edges or unstable platforms The robot should not be lifted or repositioned while powered on."
83,whizgreet.pdf,5,799,Whizrobo – 4th Generation Self-learning Platform 6. Power and Startup 6.1 Power Connection  Connect the robot to the designated power source  Ensure the power cable is routed safely and does not create obstructions The robot powers on automatically once connected. 6.2 Startup Process  Allow the system to complete initialization  Do not interact with the robot during startup 6.3 Shutdown Procedure  Use the on-screen shutdown option when available  Disconnect power only after the robot has completed shutdown 7. Interaction Methods 7.1 Touch Interaction The primary interaction method is the touch display:  Tap icons and interface elements gently  Avoid excessive pressure or sharp objects 7.2 Voice Interaction WhizGreet™ supports spoken interaction:  Speak clearly at a natural volume
84,whizgreet.pdf,6,798,"Whizrobo – 4th Generation Self-learning Platform  Stand within the recommended interaction distance Voice recognition performance may vary depending on ambient noise and speech clarity. 7.3 Visual Interaction On-screen expressions, prompts, and animations guide users through available functions and indicate interaction states. 8. Functional Modes 8.1 Reception Mode Reception Mode enables WhizGreet™ to:  Detect approaching visitors  Display greeting messages  Offer guided interaction options This mode is ideal for front desks, entrances, and information counters. 8.2 Information and Presentation Mode In this mode, WhizGreet™:  Displays structured informational content  Plays images, videos, and presentation material  Supports product introductions and service explanations Displayed"
85,whizgreet.pdf,6,233," Plays images, videos, and presentation material  Supports product introductions and service explanations Displayed content should be reviewed before deployment. 8.3 Voice Interaction Mode Voice Interaction Mode allows visitors to:"
86,whizgreet.pdf,7,799,Whizrobo – 4th Generation Self-learning Platform  Ask questions  Request information  Navigate available content Responses are delivered through audio output and on-screen display. 8.4 Multimedia Playback Mode WhizGreet™ supports multimedia playback for:  Promotional videos  Informational presentations  Educational or training content Audio and visual settings can be adjusted based on the environment. 8.5 Expression and Performance Mode WhizGreet™ can perform pre-programmed expressive motions and animations to enhance engagement. Operational Guidelines  Maintain a clear area around the robot  Avoid placing objects close to moving parts  Supervise interaction in public environments 9. Movement and Motion Behavior  WhizGreet™ is designed for stationary operation  Limited head and
87,whizgreet.pdf,7,256,environments 9. Movement and Motion Behavior  WhizGreet™ is designed for stationary operation  Limited head and body motion may occur during interaction  The robot does not move across floors Do not attempt to manually rotate or force moving components.
88,whizgreet.pdf,8,800,"Whizrobo – 4th Generation Self-learning Platform 10. Display and Audio Controls WhizGreet™ provides adjustable controls for:  Screen brightness  Audio volume  Audio muting when required These controls allow adaptation to different lighting and noise conditions. 11. Safety Guidelines 11.1 General Safety  Indoor use only  Keep away from liquids and heat sources  Do not place objects on the robot 11.2 Child Safety  Adult supervision is required  Do not allow climbing, pulling, or physical interference  Encourage gentle interaction 11.3 Electrical Safety  Use approved power accessories  Disconnect power before cleaning  Do not operate with damaged cables 11.4 Operational Safety  Ensure stable placement at all times  Stop operation if abnormal behavior is observed  Do not attempt"
89,whizgreet.pdf,8,147,Safety  Ensure stable placement at all times  Stop operation if abnormal behavior is observed  Do not attempt to modify or disassemble the robot
90,whizgreet.pdf,9,785,"Whizrobo – 4th Generation Self-learning Platform 12. Maintenance and Care 12.1 Cleaning  Use a soft, dry cloth  Do not use liquid cleaners or sprays 12.2 Routine Inspection  Inspect for visible damage  Ensure cables and connectors remain secure  Power off the robot when not in use 13. Noise and Environmental Considerations  Designed for quiet indoor operation  Audio output adjustable for comfort  Suitable for offices, lobbies, and public spaces 14. Operational Limitations WhizGreet™ is designed for structured indoor environments and stationary use. Performance may vary depending on content, placement, and interaction conditions. 15. Storage and Handling  Power off before relocation  Move carefully with both hands  Store in a dry, temperature-controlled environment"
91,whizgreet.pdf,10,795,"Whizrobo – 4th Generation Self-learning Platform 16. Basic Specifications General  Robot Type: Indoor stationary interactive service robot  Primary Applications: Visitor greeting, information delivery, multimedia presentation Physical Characteristics  Overall Height: Approximately 55–65 cm  Base Design: Fixed, stable base  Approximate Weight: 8–12 kg  Exterior Construction: Enclosed, impact-resistant housing Display and Interaction  Display Type: Integrated touch-enabled display  Display Size: Approximately 10 inches  Interaction Methods: Touch, voice, visual prompts Audio and Visual System  Camera: Integrated front-facing camera  Microphones: Built-in microphone array  Speakers: Integrated speakers Motion and Expression  Movement Type: Stationary with expressive motion "
92,whizgreet.pdf,10,167,"array  Speakers: Integrated speakers Motion and Expression  Movement Type: Stationary with expressive motion  Supported Modes: Interaction, presentation, expression"
93,whizgreet.pdf,11,656,"Whizrobo – 4th Generation Self-learning Platform Sensors  Human Presence Detection: Supported Power  Power Source: External power supply  Operating Duration: Continuous operation while connected to power Environmental Requirements  Operating Environment: Indoor only  Surface: Flat and stable  Temperature: Normal indoor room temperature  Humidity: Dry, non-condensing environment 17. Conclusion WhizGreet™ delivers consistent, engaging interaction through expressive behavior, clear presentation, and intuitive operation. Proper placement, supervision, and maintenance ensure reliable performance across professional and public-facing environments."
